metric,attribute,attribute_long,model,model_mean,cross_model_mean,cross_model_sd,z
token_count,TD,Tentativeness / Directness,Llama,48.75,63.54,13.5735,-1.0896
token_count,TD,Tentativeness / Directness,GPT,71.12,63.54,13.5735,0.5584
token_count,TD,Tentativeness / Directness,Claude,48.75,63.54,13.5735,-1.0896
token_count,TD,Tentativeness / Directness,Gemini,74.64,63.54,13.5735,0.8178
token_count,FIX,Fix-It Tendency,Qwen,35.52,26.338,9.3369,0.9834
token_count,FIX,Fix-It Tendency,Llama,20.79,26.338,9.3369,-0.5942
token_count,FIX,Fix-It Tendency,GPT,25.25,26.338,9.3369,-0.1165
token_count,FIX,Fix-It Tendency,Claude,14.36,26.338,9.3369,-1.2829
token_count,FIX,Fix-It Tendency,Gemini,35.77,26.338,9.3369,1.0102
token_count,RT,Recommendation Type,Qwen,32.92,38.454,12.1711,-0.4547
token_count,RT,Recommendation Type,Llama,51.38,38.454,12.1711,1.062
token_count,RT,Recommendation Type,GPT,46.59,38.454,12.1711,0.6685
token_count,RT,Recommendation Type,Claude,20.49,38.454,12.1711,-1.476
token_count,RT,Recommendation Type,Gemini,40.89,38.454,12.1711,0.2001
token_count,TN,Topic Shift,Qwen,40.92,30.33,12.5864,0.8414
token_count,TN,Topic Shift,Llama,16.64,30.33,12.5864,-1.0877
token_count,TN,Topic Shift,GPT,32.5,30.33,12.5864,0.1724
token_count,TN,Topic Shift,Claude,17.97,30.33,12.5864,-0.982
token_count,TN,Topic Shift,Gemini,43.62,30.33,12.5864,1.0559
token_count,QOC,Open / Closed Questions,Qwen,4.34,7.31,8.5184,-0.3487
token_count,QOC,Open / Closed Questions,Llama,2.6,7.31,8.5184,-0.5529
token_count,QOC,Open / Closed Questions,GPT,4.53,7.31,8.5184,-0.3264
token_count,QOC,Open / Closed Questions,Claude,22.46,7.31,8.5184,1.7785
token_count,QOC,Open / Closed Questions,Gemini,2.62,7.31,8.5184,-0.5506
token_count,LM,Language Matching,Qwen,19.05,13.416,4.8009,1.1735
token_count,LM,Language Matching,Llama,7.48,13.416,4.8009,-1.2364
token_count,LM,Language Matching,GPT,11.18,13.416,4.8009,-0.4658
token_count,LM,Language Matching,Claude,11.77,13.416,4.8009,-0.3429
token_count,LM,Language Matching,Gemini,17.6,13.416,4.8009,0.8715
token_count,ME,Minimal Encouragers,Qwen,0.0,0.066,0.1476,-0.4472
token_count,ME,Minimal Encouragers,Llama,0.0,0.066,0.1476,-0.4472
token_count,ME,Minimal Encouragers,GPT,0.33,0.066,0.1476,1.7889
token_count,ME,Minimal Encouragers,Claude,0.0,0.066,0.1476,-0.4472
token_count,ME,Minimal Encouragers,Gemini,0.0,0.066,0.1476,-0.4472
token_count,EMP,Empathy & Matching,Qwen,69.49,58.466,8.7769,1.256
token_count,EMP,Empathy & Matching,Llama,58.29,58.466,8.7769,-0.0201
token_count,EMP,Empathy & Matching,GPT,54.2,58.466,8.7769,-0.486
token_count,EMP,Empathy & Matching,Claude,46.61,58.466,8.7769,-1.3508
token_count,EMP,Empathy & Matching,Gemini,63.74,58.466,8.7769,0.6009
token_count,INC,Incoherence,Qwen,0.96,0.408,0.4827,1.1436
token_count,INC,Incoherence,Llama,0.08,0.408,0.4827,-0.6796
token_count,INC,Incoherence,GPT,0.0,0.408,0.4827,-0.8453
token_count,INC,Incoherence,Claude,0.09,0.408,0.4827,-0.6588
token_count,INC,Incoherence,Gemini,0.91,0.408,0.4827,1.04
word_count,S,Sensitivity,Qwen,8.39,4.694,2.1368,1.7297
word_count,S,Sensitivity,Llama,3.4,4.694,2.1368,-0.6056
word_count,S,Sensitivity,GPT,4.22,4.694,2.1368,-0.2218
word_count,S,Sensitivity,Claude,4.38,4.694,2.1368,-0.147
word_count,S,Sensitivity,Gemini,3.08,4.694,2.1368,-0.7553
word_count,AUR,Assumption of User Accuracy,Qwen,11.78,8.97,2.6691,1.0528
word_count,AUR,Assumption of User Accuracy,Llama,4.85,8.97,2.6691,-1.5436
word_count,AUR,Assumption of User Accuracy,GPT,10.83,8.97,2.6691,0.6969
word_count,AUR,Assumption of User Accuracy,Claude,8.61,8.97,2.6691,-0.1349
word_count,AUR,Assumption of User Accuracy,Gemini,8.78,8.97,2.6691,-0.0712
word_count,TD,Tentativeness / Directness,Qwen,59.86,51.556,10.0508,0.8262
word_count,TD,Tentativeness / Directness,Llama,40.58,51.556,10.0508,-1.0921
word_count,TD,Tentativeness / Directness,GPT,56.22,51.556,10.0508,0.464
word_count,TD,Tentativeness / Directness,Claude,40.79,51.556,10.0508,-1.0712
word_count,TD,Tentativeness / Directness,Gemini,60.33,51.556,10.0508,0.873
word_count,FIX,Fix-It Tendency,Qwen,28.45,21.374,7.159,0.9884
word_count,FIX,Fix-It Tendency,Llama,17.58,21.374,7.159,-0.53
word_count,FIX,Fix-It Tendency,GPT,20.31,21.374,7.159,-0.1486
word_count,FIX,Fix-It Tendency,Claude,11.99,21.374,7.159,-1.3108
word_count,FIX,Fix-It Tendency,Gemini,28.54,21.374,7.159,1.001
word_count,RT,Recommendation Type,Qwen,24.59,30.222,9.8751,-0.5703
word_count,RT,Recommendation Type,Llama,41.89,30.222,9.8751,1.1816
word_count,RT,Recommendation Type,GPT,36.81,30.222,9.8751,0.6671
word_count,RT,Recommendation Type,Claude,16.87,30.222,9.8751,-1.3521
word_count,RT,Recommendation Type,Gemini,30.95,30.222,9.8751,0.0737
word_count,TN,Topic Shift,Qwen,32.43,24.11,9.7378,0.8544
word_count,TN,Topic Shift,Llama,13.55,24.11,9.7378,-1.0844
word_count,TN,Topic Shift,GPT,25.7,24.11,9.7378,0.1633
word_count,TN,Topic Shift,Claude,14.54,24.11,9.7378,-0.9828
word_count,TN,Topic Shift,Gemini,34.33,24.11,9.7378,1.0495
word_count,QOC,Open / Closed Questions,Qwen,3.49,6.126,7.3368,-0.3593
word_count,QOC,Open / Closed Questions,Llama,2.24,6.126,7.3368,-0.5297
word_count,QOC,Open / Closed Questions,GPT,3.51,6.126,7.3368,-0.3566
word_count,QOC,Open / Closed Questions,Claude,19.2,6.126,7.3368,1.782
word_count,QOC,Open / Closed Questions,Gemini,2.19,6.126,7.3368,-0.5365
word_count,LM,Language Matching,Qwen,15.18,10.726,3.712,1.1999
word_count,LM,Language Matching,Llama,6.17,10.726,3.712,-1.2274
word_count,LM,Language Matching,GPT,8.79,10.726,3.712,-0.5216
word_count,LM,Language Matching,Claude,9.66,10.726,3.712,-0.2872
word_count,LM,Language Matching,Gemini,13.83,10.726,3.712,0.8362
word_count,ME,Minimal Encouragers,Qwen,0.0,0.05,0.1118,-0.4472
word_count,ME,Minimal Encouragers,Llama,0.0,0.05,0.1118,-0.4472
word_count,ME,Minimal Encouragers,GPT,0.25,0.05,0.1118,1.7889
word_count,ME,Minimal Encouragers,Claude,0.0,0.05,0.1118,-0.4472
word_count,ME,Minimal Encouragers,Gemini,0.0,0.05,0.1118,-0.4472
word_count,EMP,Empathy & Matching,Qwen,58.09,48.234,7.4402,1.3247
word_count,EMP,Empathy & Matching,Llama,48.53,48.234,7.4402,0.0398
word_count,EMP,Empathy & Matching,GPT,42.94,48.234,7.4402,-0.7115
word_count,EMP,Empathy & Matching,Claude,39.31,48.234,7.4402,-1.1994
word_count,EMP,Empathy & Matching,Gemini,52.3,48.234,7.4402,0.5465
word_count,INC,Incoherence,Qwen,0.68,0.292,0.3551,1.0928
word_count,INC,Incoherence,Llama,0.03,0.292,0.3551,-0.7379
word_count,INC,Incoherence,GPT,0.0,0.292,0.3551,-0.8224
word_count,INC,Incoherence,Claude,0.07,0.292,0.3551,-0.6252
word_count,INC,Incoherence,Gemini,0.68,0.292,0.3551,1.0928
